Item Code,Txn Date,Units Sold,Unit Price
SHIRT-M-BLU,2025-01-01,3,$614.85
SHIRT-M-BLU,2025-01-02,2,$458.97
SHIRT-M-BLU,2025-01-03,"1,200",$531.84
SHIRT-M-BLU,2025-01-04,"1,200",$245.87
SHIRT-M-BLU,2025-01-05,0,$836.17
SHIRT-M-BLU,2025-01-06,abc,$381.55
SHIRT-M-BLU,2025-01-07,3,$334.22
SHIRT-M-BLU,2025-01-08,abc,$578.68
SHIRT-M-BLU,2025-01-09,-2,$533.45
SHIRT-M-BLU,2025-01-10,2,$362.35
SHIRT-M-BLU,2025-01-11,2,$807.63
SHIRT-M-BLU,2025-01-12,-2,$472.96
SHIRT-M-BLU,2025-01-13,0,$669.99
SHIRT-M-BLU,2025-01-14,1,$311.58
SHIRT-M-BLU,2025-01-15,"1,200",$229.95
SHIRT-M-BLU,2025-01-16,0,$776.50
SHIRT-M-BLU,2025-01-17,5,$530.92
SHIRT-M-BLU,2025-01-18,,$699.89
SHIRT-M-BLU,2025-01-19,,$476.47
SHIRT-M-BLU,2025-01-20,"1,200",$511.23
SHIRT-M-BLU,2025-01-21,2,$815.21
SHIRT-M-BLU,2025-01-22,1,$225.12
SHIRT-M-BLU,2025-01-23,abc,$351.89
SHIRT-M-BLU,2025-01-24,,$745.28
SHIRT-M-BLU,2025-01-25,5,$494.80
SHIRT-M-BLU,2025-01-26,,$601.82
SHIRT-M-BLU,2025-01-27,-2,$609.55
SHIRT-M-BLU,2025-01-28,"1,200",$362.67
SHIRT-M-BLU,2025-01-01,8,$677.39
SHIRT-M-BLU,2025-01-02,0,$799.48
SHIRT-M-BLU,2025-02-03,"1,200",$669.89
SHIRT-M-BLU,2025-02-04,2,$689.03
SHIRT-M-BLU,2025-02-05,8,$875.24
SHIRT-M-BLU,2025-02-06,"1,200",$598.38
SHIRT-M-BLU,2025-02-07,3,$643.08
SHIRT-M-BLU,2025-02-08,"1,200",$386.96
SHIRT-M-BLU,2025-02-09,1,$244.42
SHIRT-M-BLU,2025-02-10,abc,$261.96
SHIRT-M-BLU,2025-02-11,1,$487.32
SHIRT-M-BLU,2025-02-12,2,$214.09
SHIRT-M-BLU,2025-02-13,,$738.15
SHIRT-M-BLU,2025-02-14,1,$230.93
SHIRT-M-BLU,2025-02-15,"1,200",$733.14
SHIRT-M-BLU,2025-02-16,,$702.91
SHIRT-M-BLU,2025-02-17,8,$585.60
SHIRT-M-BLU,2025-02-18,5,$553.79
SHIRT-M-BLU,2025-02-19,0,$416.77
SHIRT-M-BLU,2025-02-20,1,$275.68
SHIRT-M-BLU,2025-02-21,-2,$221.96
SHIRT-M-BLU,2025-02-22,3,$880.00
SHIRT-M-BLU,2025-02-23,5,$627.33
SHIRT-M-BLU,2025-02-24,2,$682.81
SHIRT-M-BLU,2025-02-25,8,$419.68
SHIRT-M-BLU,2025-02-26,2,$827.66
SHIRT-M-BLU,2025-02-27,,$463.73
SHIRT-M-BLU,2025-02-28,-2,$470.34
SHIRT-M-BLU,2025-02-01,"1,200",$676.68
SHIRT-M-BLU,2025-02-02,1,$634.09
SHIRT-M-BLU,2025-02-03,-2,$389.91
SHIRT-M-BLU,2025-02-04,3,$855.51
SHIRT-M-BLU,2025-03-05,,$884.46
SHIRT-M-BLU,2025-03-06,-2,$412.10
SHIRT-M-BLU,2025-03-07,8,$208.02
SHIRT-M-BLU,2025-03-08,,$891.22
SHIRT-M-BLU,2025-03-09,8,$214.04
SHIRT-M-BLU,2025-03-10,"1,200",$612.44
SHIRT-M-BLU,2025-03-11,2,$242.06
SHIRT-M-BLU,2025-03-12,8,$526.38
SHIRT-M-BLU,2025-03-13,8,$626.20
SHIRT-M-BLU,2025-03-14,5,$716.62
SHIRT-M-BLU,2025-03-15,0,$612.56
SHIRT-M-BLU,2025-03-16,0,$874.31
SHIRT-M-BLU,2025-03-17,5,$639.58
SHIRT-M-BLU,2025-03-18,5,$614.87
SHIRT-M-BLU,2025-03-19,8,$324.19
SHIRT-M-BLU,2025-03-20,2,$418.87
SHIRT-M-BLU,2025-03-21,8,$790.69
SHIRT-M-BLU,2025-03-22,5,$410.28
SHIRT-M-BLU,2025-03-23,,$273.41
SHIRT-M-BLU,2025-03-24,0,$879.96
SHIRT-M-BLU,2025-03-25,2,$417.01
SHIRT-M-BLU,2025-03-26,3,$657.61
SHIRT-M-BLU,2025-03-27,5,$367.09
SHIRT-M-BLU,2025-03-28,2,$674.64
SHIRT-M-BLU,2025-03-01,1,$271.29
SHIRT-M-BLU,2025-03-02,8,$864.40
SHIRT-M-BLU,2025-03-03,3,$506.90
SHIRT-M-BLU,2025-03-04,2,$255.96
SHIRT-M-BLU,2025-03-05,3,$819.43
SHIRT-M-BLU,2025-03-06,abc,$389.42
SHIRT-M-BLU,2025-04-07,1,$223.74
SHIRT-M-BLU,2025-04-08,3,$420.60
SHIRT-M-BLU,2025-04-09,"1,200",$328.51
SHIRT-M-BLU,2025-04-10,5,$438.08
SHIRT-M-BLU,2025-04-11,1,$764.38
