day,original_day,date,demand,price,revenue,dow,month,year,snap,event_name,event_type,is_event,is_weekend
0,1,2011-01-29,107,1.25,133.75,5,1,2011,False,,,False,True
1,2,2011-01-30,182,1.25,227.5,6,1,2011,False,,,False,True
2,3,2011-01-31,47,1.25,58.75,0,1,2011,False,,,False,False
3,4,2011-02-01,47,1.25,58.75,1,2,2011,True,,,False,False
4,5,2011-02-02,62,1.25,77.5,2,2,2011,True,,,False,False
5,6,2011-02-03,90,1.25,112.5,3,2,2011,True,,,False,False
6,7,2011-02-04,81,1.25,101.25,4,2,2011,True,,,False,False
7,8,2011-02-05,124,1.25,155.0,5,2,2011,True,,,False,True
8,9,2011-02-06,134,1.25,167.5,6,2,2011,True,SuperBowl,Sporting,True,True
9,10,2011-02-07,65,1.25,81.25,0,2,2011,True,,,False,False
10,11,2011-02-08,0,1.25,0.0,1,2,2011,True,,,False,False
11,12,2011-02-09,0,1.25,0.0,2,2,2011,True,,,False,False
12,13,2011-02-10,0,1.25,0.0,3,2,2011,True,,,False,False
13,14,2011-02-11,0,1.25,0.0,4,2,2011,False,,,False,False
14,15,2011-02-12,0,1.25,0.0,5,2,2011,False,,,False,True
15,16,2011-02-13,0,1.25,0.0,6,2,2011,False,,,False,True
16,17,2011-02-14,0,1.25,0.0,0,2,2011,False,ValentinesDay,Cultural,True,False
17,18,2011-02-15,0,1.25,0.0,1,2,2011,False,,,False,False
18,19,2011-02-16,0,1.25,0.0,2,2,2011,False,,,False,False
19,20,2011-02-17,0,1.25,0.0,3,2,2011,False,,,False,False
20,21,2011-02-18,0,1.25,0.0,4,2,2011,False,,,False,False
21,22,2011-02-19,0,1.25,0.0,5,2,2011,False,,,False,True
22,23,2011-02-20,0,1.25,0.0,6,2,2011,False,,,False,True
23,24,2011-02-21,0,1.25,0.0,0,2,2011,False,PresidentsDay,National,True,False
24,25,2011-02-22,0,1.25,0.0,1,2,2011,False,,,False,False
25,26,2011-02-23,0,1.25,0.0,2,2,2011,False,,,False,False
26,27,2011-02-24,0,1.25,0.0,3,2,2011,False,,,False,False
27,28,2011-02-25,0,1.25,0.0,4,2,2011,False,,,False,False
28,29,2011-02-26,0,1.25,0.0,5,2,2011,False,,,False,True
29,30,2011-02-27,0,1.25,0.0,6,2,2011,False,,,False,True
30,31,2011-02-28,0,1.25,0.0,0,2,2011,False,,,False,False
31,32,2011-03-01,0,1.25,0.0,1,3,2011,True,,,False,False
32,33,2011-03-02,0,1.25,0.0,2,3,2011,True,,,False,False
33,34,2011-03-03,0,1.25,0.0,3,3,2011,True,,,False,False
34,35,2011-03-04,0,1.25,0.0,4,3,2011,True,,,False,False
35,36,2011-03-05,0,1.25,0.0,5,3,2011,True,,,False,True
36,37,2011-03-06,0,1.25,0.0,6,3,2011,True,,,False,True
37,38,2011-03-07,0,1.25,0.0,0,3,2011,True,,,False,False
38,39,2011-03-08,0,1.25,0.0,1,3,2011,True,,,False,False
39,40,2011-03-09,0,1.25,0.0,2,3,2011,True,LentStart,Religious,True,False
40,41,2011-03-10,0,1.25,0.0,3,3,2011,True,,,False,False
41,42,2011-03-11,0,1.25,0.0,4,3,2011,False,,,False,False
42,43,2011-03-12,0,1.25,0.0,5,3,2011,False,,,False,True
43,44,2011-03-13,0,1.25,0.0,6,3,2011,False,,,False,True
44,45,2011-03-14,0,1.25,0.0,0,3,2011,False,,,False,False
45,46,2011-03-15,0,1.25,0.0,1,3,2011,False,,,False,False
46,47,2011-03-16,0,1.25,0.0,2,3,2011,False,LentWeek2,Religious,True,False
47,48,2011-03-17,0,1.25,0.0,3,3,2011,False,StPatricksDay,Cultural,True,False
48,49,2011-03-18,0,1.25,0.0,4,3,2011,False,,,False,False
49,50,2011-03-19,0,1.25,0.0,5,3,2011,False,,,False,True
50,51,2011-03-20,0,1.25,0.0,6,3,2011,False,Purim End,Religious,True,True
51,52,2011-03-21,0,1.25,0.0,0,3,2011,False,,,False,False
52,53,2011-03-22,0,1.25,0.0,1,3,2011,False,,,False,False
53,54,2011-03-23,0,1.25,0.0,2,3,2011,False,,,False,False
54,55,2011-03-24,0,1.25,0.0,3,3,2011,False,,,False,False
55,56,2011-03-25,0,1.25,0.0,4,3,2011,False,,,False,False
56,57,2011-03-26,0,1.25,0.0,5,3,2011,False,,,False,True
57,58,2011-03-27,0,1.25,0.0,6,3,2011,False,,,False,True
58,59,2011-03-28,0,1.25,0.0,0,3,2011,False,,,False,False
59,60,2011-03-29,0,1.25,0.0,1,3,2011,False,,,False,False
60,61,2011-03-30,0,1.25,0.0,2,3,2011,False,,,False,False
61,62,2011-03-31,0,1.25,0.0,3,3,2011,False,,,False,False
62,63,2011-04-01,0,1.25,0.0,4,4,2011,True,,,False,False
63,64,2011-04-02,0,1.25,0.0,5,4,2011,True,,,False,True
64,65,2011-04-03,0,1.25,0.0,6,4,2011,True,,,False,True
65,66,2011-04-04,0,1.25,0.0,0,4,2011,True,,,False,False
66,67,2011-04-05,0,1.25,0.0,1,4,2011,True,,,False,False
67,68,2011-04-06,0,1.25,0.0,2,4,2011,True,,,False,False
68,69,2011-04-07,0,1.25,0.0,3,4,2011,True,,,False,False
69,70,2011-04-08,0,1.25,0.0,4,4,2011,True,,,False,False
70,71,2011-04-09,0,1.25,0.0,5,4,2011,True,,,False,True
71,72,2011-04-10,0,1.25,0.0,6,4,2011,True,,,False,True
72,73,2011-04-11,0,1.25,0.0,0,4,2011,False,,,False,False
73,74,2011-04-12,0,1.25,0.0,1,4,2011,False,,,False,False
74,75,2011-04-13,0,1.25,0.0,2,4,2011,False,,,False,False
75,76,2011-04-14,0,1.25,0.0,3,4,2011,False,,,False,False
76,77,2011-04-15,0,1.25,0.0,4,4,2011,False,,,False,False
77,78,2011-04-16,0,1.25,0.0,5,4,2011,False,,,False,True
78,79,2011-04-17,0,1.25,0.0,6,4,2011,False,,,False,True
79,80,2011-04-18,0,1.25,0.0,0,4,2011,False,,,False,False
80,81,2011-04-19,0,1.25,0.0,1,4,2011,False,,,False,False
81,82,2011-04-20,0,1.25,0.0,2,4,2011,False,,,False,False
82,83,2011-04-21,0,1.25,0.0,3,4,2011,False,,,False,False
83,84,2011-04-22,0,1.25,0.0,4,4,2011,False,,,False,False
